Comentary,Feeling
"So many things about this company, and its parent company L'Oreal...",0
"The people. All of my coworkers champion me to learn, grow, and explore my career opportunities within TOMS. I've gained so much knowledge of the business and across the spectrum of all departments in just one year of working here. The leadership is in touch with its subsidiaries and with process is still developing in most areas, everyone is open to new ideas and innovation.",1
"great coworkers
great work culture
awesome leadership",1
"Haagen-Dazs was a great place to learn. I started when I was 14, and I worked there for seven years. Without those seven years of experience, I wouldn't be who I am today.",1
"Great products, commission scheme another good point.",1
"Fun,semi-competitive work environment. Great employee discount",1
"-Horrible local management (Team Primo) that doesn't listen to employees and is only interested in congratulating themselves despite doing very little
-Low pay and unrealistic expectations on employees",0
Can’t think of anything positive,1
Great environment to work in retail,1
"Fun atmosphere, great first job",1
"Dishonest Leadership Team - everyone tells lies to your face and points fingers to deflect their incompetence.
No positive leadership role models. Not one. Horrendous Leadership team.
Leaders are more concerned with their salaries and how to spend them than advocating for  or developing their own employees.
Such a passionate and caring mission yet the company treats the average Joe like dirt. 
Only enjoyable to work here if you are part of the ""in crowd"",  and God help you if you are not. HR is THE WORST.
Inconsistent rules, depending on how well liked you are.
High school clique mentality. Backstabbing, catty, condescending and disrespectful. 
Everything is for show -everyone just tries to ""manage up"" to kiss up and look good.
All the picture perfect moments are really just for the press. Don't believe the hype.
So much hypocrisy and deceit. Constant displays of passive aggressive behavior. 
Disgusting and unethical. How do these people sleep at night?
No true accountability for Leaders. 
You will make a LOT of money if the RIGHT PEOPLE like you. 
You will never lose your job IF THE RIGHT PEOPLE LIKE YOU.
Your job performance can be substandard IF THE RIGHT PEOPLE LIKE YOU. 
Rules do not apply IF THE RIGHT PEOPLE LIKE YOU. 
HR does not want to hear how you REALLY feel and will sweep your concerns under the rug with all the rest. In fact, they will do their best to get rid of you if they find you to be a recurring thorn in their side. A ginormous (and well paid) team that provides...NOTHING.
Inappropriate and unprofessional behavior goes unnoticed and unpunished.
HR as a whole department has no clue nor concern about true employee satisfaction. 
The company is drenched in gossip, drama, negativity and low morale. People are so unhappy. You cannot trust anyone and the example of bad behavior is set by Leadership and infects the behavior of everyone else.
Yet, sadly, everyone plasters on a smile and speaks with forked tongues in order to collect a paycheck. 
Condescending behavior by everyone including Executives should NOT be tolerated. 
Why is there so much inconsistency in salaries among similar job levels?
Why are so many unskilled and inexperienced employees making significantly more than others in similar jobs?
Favoritism and nepotism is rampant.
Irresponsible and reckless spending, yet we should be thankful for our miniscule raises when Leaders are making their full salary in bonus?
An all around lousy and miserable work experience and I too, stay for my paycheck until I can make my escape.",0
